id_go,hagrid,go,name,type
19475,150,70301,cellular response to hydrogen peroxide,P
19474,150,1904644,cellular response to curcumin,P
19473,150,1904646,cellular response to beta-amyloid,P
19472,150,71236,cellular response to antibiotic,P
19471,150,6974,cellular response to DNA damage stimulus,P
19469,150,7569,cell aging,P
19470,150,1678,cellular glucose homeostasis,P
19468,150,42595,behavioral response to starvation,P
19467,150,1525,angiogenesis,P
19466,150,70914,UV-damage excision repair,P
19465,150,731,DNA synthesis involved in DNA repair,P
19464,150,6260,DNA replication,P
19463,150,6281,DNA repair,P
19462,150,1077,"transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding",F
19461,150,8134,transcription factor binding,F
19460,150,3714,transcription corepressor activity,F
19459,150,3714,transcription corepressor activity,F
19458,150,43422,protein kinase B binding,F
19457,150,33558,protein deacetylase activity,F
19456,150,33558,protein deacetylase activity,F
19401,151,43922,negative regulation by host of viral transcription,P
19400,151,6346,methylation-dependent chromatin silencing,P
19399,151,16575,histone deacetylation,P
19398,151,70933,histone H4 deacetylation,P
19397,151,70932,histone H3 deacetylation,P
19396,151,60789,hair follicle placode formation,P
19395,151,61198,fungiform papilla formation,P
19394,151,61029,eyelid development in camera-type eye,P
19393,151,9913,epidermal cell differentiation,P
19392,151,42733,embryonic digit morphogenesis,P
19391,151,32922,circadian regulation of gene expression,P
19390,151,6338,chromatin remodeling,P
19389,151,6325,chromatin organization,P
19388,151,7596,blood coagulation,P
19387,151,1904837,beta-catenin-TCF complex assembly,P
19386,151,43044,ATP-dependent chromatin remodeling,P
19385,151,976,transcription regulatory region sequence-specific DNA binding,F
19384,151,44212,transcription regulatory region DNA binding,F
19383,151,8134,transcription factor binding,F
19382,151,8134,transcription factor binding,F
19381,151,3700,"transcription factor activity, sequence-specific DNA binding",F
19380,151,70491,repressing transcription factor binding,F
19379,151,33558,protein deacetylase activity,F
19378,151,33558,protein deacetylase activity,F
19377,151,5515,protein binding,F
19376,151,47485,protein N-terminus binding,F
19375,151,31492,nucleosomal DNA binding,F
19374,151,42826,histone deacetylase binding,F
19373,151,4407,histone deacetylase activity,F
19372,151,4407,histone deacetylase activity,F
19371,151,4407,histone deacetylase activity,F
19370,151,19899,enzyme binding,F
19369,151,19213,deacetylase activity,F
19368,151,1047,core promoter binding,F
19367,151,33613,activating transcription factor binding,F
19366,151,1085,RNA polymerase II transcription factor binding,F
19365,151,1106,RNA polymerase II transcription corepressor activity,F
19364,151,1103,RNA polymerase II repressing transcription factor binding,F
19363,151,980,RNA polymerase II distal enhancer sequence-specific DNA binding,F
19362,151,978,RNA polymerase II core promoter proximal region sequence-specific DNA binding,F
19361,151,51059,NF-kappaB binding,F
19360,151,32041,NAD-dependent histone deacetylase activity (H3-K14 specific),F
19319,153,43523,regulation of neuron apoptotic process,P
19318,153,33599,regulation of mammary gland epithelial cell proliferation,P
19317,153,40029,"regulation of gene expression, epigenetic",P
19316,153,6195,purine nucleotide catabolic process,P
19315,153,18158,protein oxidation,P
19314,153,1902905,positive regulation of supramolecular fiber organization,P
19313,153,51897,positive regulation of protein kinase B signaling,P
19312,153,90201,negative regulation of release of cytochrome c from mitochondria,P
19311,153,1902176,negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway,P
19310,153,2862,negative regulation of inflammatory response to antigenic stimulus,P
19309,153,1902042,negative regulation of extrinsic apoptotic signaling pathway via death domain receptors,P
19308,153,43154,negative regulation of cysteine-type endopeptidase activity involved in apoptotic process,P
19307,153,51450,myoblast proliferation,P
19306,153,19372,lipoxygenase pathway,P
19305,153,8631,intrinsic apoptotic signaling pathway in response to oxidative stress,P
19304,153,51702,interaction with symbiont,P
19303,153,42744,hydrogen peroxide catabolic process,P
19302,153,60047,heart contraction,P
19301,153,6749,glutathione metabolic process,P
19300,153,45444,fat cell differentiation,P
19299,153,1885,endothelial cell development,P
19298,153,34599,cellular response to oxidative stress,P
19297,153,98869,cellular oxidant detoxification,P
19296,153,45454,cell redox homeostasis,P
19295,153,43534,blood vessel endothelial cell migration,P
19294,153,60055,angiogenesis involved in wound healing,P
19293,153,9650,UV protection,P
19292,153,4602,glutathione peroxidase activity,F
19291,153,4602,glutathione peroxidase activity,F
19290,153,17124,SH3 domain binding,F
19283,154,15949,nucleobase-containing small molecule interconversion,P
19282,154,6749,glutathione metabolic process,P
19281,154,98869,cellular oxidant detoxification,P
19280,154,45454,cell redox homeostasis,P
19279,154,4362,glutathione-disulfide reductase activity,F
19278,154,50660,flavin adenine dinucleotide binding,F
19277,154,9055,electron carrier activity,F
19276,154,50661,NADP binding,F
19268,155,46686,response to cadmium ion,P
19267,155,43200,response to amino acid,P
19266,155,7399,nervous system development,P
19265,155,6750,glutathione biosynthetic process,P
19264,155,6750,glutathione biosynthetic process,P
19263,155,6520,cellular amino acid metabolic process,P
19262,155,7568,aging,P
19261,155,42803,protein homodimerization activity,F
19260,155,5515,protein binding,F
19259,155,287,magnesium ion binding,F
19258,155,42802,identical protein binding,F
19257,155,16594,glycine binding,F
19256,155,4363,glutathione synthase activity,F
19255,155,43295,glutathione binding,F
19254,155,5524,ATP binding,F
19250,156,1901687,glutathione derivative biosynthetic process,P
19249,156,42803,protein homodimerization activity,F
19248,156,5515,protein binding,F
19247,156,42802,identical protein binding,F
19246,156,4364,glutathione transferase activity,F
19245,156,4364,glutathione transferase activity,F
19212,157,32691,negative regulation of interleukin-1 beta production,P
19211,157,48147,negative regulation of fibroblast proliferation,P
19210,157,2001237,negative regulation of extrinsic apoptotic signaling pathway,P
19209,157,9890,negative regulation of biosynthetic process,P
19208,157,43066,negative regulation of apoptotic process,P
19207,157,2674,negative regulation of acute inflammatory response,P
19206,157,43409,negative regulation of MAPK cascade,P
19205,157,43407,negative regulation of MAP kinase activity,P
19204,157,43508,negative regulation of JUN kinase activity,P
19203,157,43124,negative regulation of I-kappaB kinase/NF-kappaB signaling,P
19202,157,70373,negative regulation of ERK1 and ERK2 cascade,P
19201,157,43651,linoleic acid metabolic process,P
19200,157,6749,glutathione metabolic process,P
19199,157,1901687,glutathione derivative biosynthetic process,P
19198,157,35726,common myeloid progenitor cell proliferation,P
19197,157,7417,central nervous system development,P
19196,157,71222,cellular response to lipopolysaccharide,P
19195,157,32869,cellular response to insulin stimulus,P
19194,157,71385,cellular response to glucocorticoid stimulus,P
19193,157,71364,cellular response to epidermal growth factor stimulus,P
19192,157,71460,cellular response to cell-matrix adhesion,P
19191,157,98869,cellular oxidant detoxification,P
19189,157,5515,protein binding,F
19190,157,31100,animal organ regeneration,P
19188,157,70026,nitric oxide binding,F
19187,157,19207,kinase regulator activity,F
19186,157,4364,glutathione transferase activity,F
19185,157,4364,glutathione transferase activity,F
19184,157,4602,glutathione peroxidase activity,F
19183,157,43295,glutathione binding,F
19182,157,8144,drug binding,F
19181,157,35731,dinitrosyl-iron complex binding,F
19180,157,35730,S-nitrosoglutathione binding,F
19179,157,8432,JUN kinase binding,F
19147,159,32729,positive regulation of interferon-gamma production,P
19146,159,32729,positive regulation of interferon-gamma production,P
19145,159,32727,positive regulation of interferon-alpha production,P
19144,159,43065,positive regulation of apoptotic process,P
19143,159,2842,positive regulation of T cell mediated immune response to tumor cell,P
19142,159,50870,positive regulation of T cell activation,P
19141,159,50870,positive regulation of T cell activation,P
19140,159,43066,negative regulation of apoptotic process,P
19138,159,61077,chaperone-mediated protein folding,P
19139,159,48291,isotype switching to IgG isotypes,P
19137,159,51131,chaperone-mediated protein complex assembly,P
19136,159,8637,apoptotic mitochondrial changes,P
19135,159,6919,activation of cysteine-type endopeptidase activity involved in apoptotic process,P
19134,159,42110,T cell activation,P
19133,159,2755,MyD88-dependent toll-like receptor signaling pathway,P
19132,159,42100,B cell proliferation,P
19131,159,2368,B cell cytokine production,P
19130,159,42113,B cell activation,P
19129,159,6458,'de novo' protein folding,P
19128,159,6458,'de novo' protein folding,P
19127,159,51082,unfolded protein binding,F
19126,159,51082,unfolded protein binding,F
19125,159,51082,unfolded protein binding,F
19124,159,31625,ubiquitin protein ligase binding,F
19123,159,3697,single-stranded DNA binding,F
19122,159,44183,protein binding involved in protein folding,F
19121,159,5515,protein binding,F
19120,159,44822,poly(A) RNA binding,F
19119,159,2039,p53 binding,F
19118,159,1530,lipopolysaccharide binding,F
19117,159,3725,double-stranded RNA binding,F
19116,159,51087,chaperone binding,F
19115,159,3688,DNA replication origin binding,F
19114,159,16887,ATPase activity,F
19113,159,5524,ATP binding,F
19031,161,60548,negative regulation of cell death,P
19030,161,60548,negative regulation of cell death,P
19029,161,34599,cellular response to oxidative stress,P
19028,161,34605,cellular response to heat,P
19027,161,70370,cellular heat acclimation,P
19026,161,46034,ATP metabolic process,P
19025,161,1618,virus receptor activity,F
19024,161,51082,unfolded protein binding,F
19023,161,51082,unfolded protein binding,F
19022,161,31625,ubiquitin protein ligase binding,F
19021,161,5102,receptor binding,F
19020,161,44183,protein binding involved in protein folding,F
19019,161,5515,protein binding,F
19018,161,42826,histone deacetylase binding,F
19017,161,31072,heat shock protein binding,F
19016,161,19899,enzyme binding,F
19015,161,1664,G-protein coupled receptor binding,F
19014,161,55131,C3HC4-type RING finger domain binding,F
19013,161,42623,"ATPase activity, coupled",F
19012,161,16887,ATPase activity,F
19011,161,5524,ATP binding,F
19000,162,4719,protein-L-isoaspartate (D-aspartate) O-methyltransferase activity,F
18999,162,5515,protein binding,F
18998,162,98641,cadherin binding involved in cell-cell adhesion,F
18996,163,5654,nucleoplasm,C
18995,163,5739,mitochondrion,C
18994,163,5829,cytosol,C
18993,163,48511,rhythmic process,P
18992,163,6950,response to stress,P
18991,163,9411,response to UV,P
18990,163,51090,regulation of sequence-specific DNA binding transcription factor activity,P
18989,163,32880,regulation of protein localization,P
18988,163,16241,regulation of macroautophagy,P
18987,163,31063,regulation of histone deacetylation,P
18986,163,42752,regulation of circadian rhythm,P
18985,163,6468,protein phosphorylation,P
18984,163,51247,positive regulation of protein metabolic process,P
18983,163,1900740,positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway,P
18982,163,10628,positive regulation of gene expression,P
18981,163,90045,positive regulation of deacetylase activity,P
18980,163,31281,positive regulation of cyclase activity,P
18979,163,43065,positive regulation of apoptotic process,P
18978,163,18107,peptidyl-threonine phosphorylation,P
18977,163,18107,peptidyl-threonine phosphorylation,P
18976,163,18105,peptidyl-serine phosphorylation,P
18975,163,32091,negative regulation of protein binding,P
18974,163,43066,negative regulation of apoptotic process,P
18973,163,71260,cellular response to mechanical stimulus,P
18972,163,71222,cellular response to lipopolysaccharide,P
18971,163,7258,JUN phosphorylation,P
18970,163,7254,JNK cascade,P
18969,163,7254,JNK cascade,P
18968,163,38095,Fc-epsilon receptor signaling pathway,P
18967,163,4674,protein serine/threonine kinase activity,F
18966,163,5515,protein binding,F
18965,163,16301,kinase activity,F
18964,163,35033,histone deacetylase regulator activity,F
18963,163,42826,histone deacetylase binding,F
18962,163,19899,enzyme binding,F
18961,163,4705,JUN kinase activity,F
18960,163,4705,JUN kinase activity,F
18959,163,5524,ATP binding,F
18945,164,43488,regulation of mRNA stability,P
18944,164,1900740,positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway,P
18943,164,30168,platelet activation,P
18942,164,43066,negative regulation of apoptotic process,P
18941,164,61024,membrane organization,P
18940,164,51683,establishment of Golgi localization,P
18939,164,98609,cell-cell adhesion,P
18938,164,90168,Golgi reassembly,P
18936,164,8134,transcription factor binding,F
18937,164,31625,ubiquitin protein ligase binding,F
18935,164,19901,protein kinase binding,F
18934,164,19904,protein domain specific binding,F
18933,164,5515,protein binding,F
18932,164,44822,poly(A) RNA binding,F
18931,164,42802,identical protein binding,F
18930,164,98641,cadherin binding involved in cell-cell adhesion,F
18870,165,43552,positive regulation of phosphatidylinositol 3-kinase activity,P
18869,165,50731,positive regulation of peptidyl-tyrosine phosphorylation,P
18868,165,51000,positive regulation of nitric-oxide synthase activity,P
18867,165,45429,positive regulation of nitric oxide biosynthetic process,P
18866,165,10976,positive regulation of neuron projection development,P
18865,165,2000463,positive regulation of excitatory postsynaptic potential,P
18864,165,10595,positive regulation of endothelial cell migration,P
18863,165,7204,positive regulation of cytosolic calcium ion concentration,P
18862,165,1954,positive regulation of cell-matrix adhesion,P
18861,165,8284,positive regulation of cell proliferation,P
18860,165,30335,positive regulation of cell migration,P
18859,165,30307,positive regulation of cell growth,P
18858,165,45766,positive regulation of angiogenesis,P
18857,165,30838,positive regulation of actin filament polymerization,P
18856,165,43507,positive regulation of JUN kinase activity,P
18855,165,46330,positive regulation of JNK cascade,P
18854,165,70374,positive regulation of ERK1 and ERK2 cascade,P
18853,165,2000573,positive regulation of DNA biosynthetic process,P
18852,165,2000538,positive regulation of B cell chemotaxis,P
18851,165,18108,peptidyl-tyrosine phosphorylation,P
18850,165,38083,peptidyl-tyrosine autophosphorylation,P
18849,165,38083,peptidyl-tyrosine autophosphorylation,P
18848,165,1556,oocyte maturation,P
18847,165,31175,neuron projection development,P
18846,165,43267,negative regulation of potassium ion transport,P
18845,165,43524,negative regulation of neuron apoptotic process,P
18844,165,45638,negative regulation of myeloid cell differentiation,P
18843,165,10656,negative regulation of muscle cell apoptotic process,P
18842,165,8285,negative regulation of cell proliferation,P
18840,165,43066,negative regulation of apoptotic process,P
18841,165,30502,negative regulation of bone mineralization,P
18839,165,2315,marginal zone B cell differentiation,P
18838,165,60291,long-term synaptic potentiation,P
18837,165,60292,long term synaptic depression,P
18836,165,35235,ionotropic glutamate receptor signaling pathway,P
18835,165,7229,integrin-mediated signaling pathway,P
18834,165,45087,innate immune response,P
18833,165,14009,glial cell proliferation,P
18832,165,48041,focal adhesion assembly,P
18831,165,7173,epidermal growth factor receptor signaling pathway,P
18830,165,70098,chemokine-mediated signaling pathway,P
18829,165,71300,cellular response to retinoic acid,P
18828,165,71498,cellular response to fluid shear stress,P
18827,165,6968,cellular defense response,P
18825,165,45453,bone resorption,P
18826,165,7166,cell surface receptor signaling pathway,P
18824,165,43534,blood vessel endothelial cell migration,P
18823,165,6915,apoptotic process,P
18822,165,1525,angiogenesis,P
18821,165,2250,adaptive immune response,P
18820,165,42976,activation of Janus kinase activity,P
18819,165,90630,activation of GTPase activity,P
18818,165,165,MAPK cascade,P
18817,165,4871,signal transducer activity,F
18816,165,5102,receptor binding,F
18815,165,4713,protein tyrosine kinase activity,F
18814,165,32403,protein complex binding,F
18813,165,5515,protein binding,F
18812,165,4715,non-membrane spanning protein tyrosine kinase activity,F
18811,165,4683,calmodulin-dependent protein kinase activity,F
18810,165,4972,NMDA glutamate receptor activity,F
18809,165,5524,ATP binding,F
18808,165,43423,3-phosphoinositide-dependent protein kinase binding,F
18781,166,42127,regulation of cell proliferation,P
18780,166,33628,regulation of cell adhesion mediated by integrin,P
18779,166,43087,regulation of GTPase activity,P
18778,166,46777,protein autophosphorylation,P
18777,166,2000060,positive regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process,P
18776,166,1934,positive regulation of protein phosphorylation,P
18775,166,45860,positive regulation of protein kinase activity,P
18774,166,51897,positive regulation of protein kinase B signaling,P
18773,166,14068,positive regulation of phosphatidylinositol 3-kinase signaling,P
18772,166,43552,positive regulation of phosphatidylinositol 3-kinase activity,P
18771,166,8284,positive regulation of cell proliferation,P
18770,166,30335,positive regulation of cell migration,P
18769,166,43547,positive regulation of GTPase activity,P
18768,166,1890,placenta development,P
18767,166,18108,peptidyl-tyrosine phosphorylation,P
18766,166,38083,peptidyl-tyrosine autophosphorylation,P
18765,166,1764,neuron migration,P
18764,166,38007,netrin-activated signaling pathway,P
18763,166,51964,negative regulation of synapse assembly,P
18762,166,46621,negative regulation of organ growth,P
18761,166,22408,negative regulation of cell-cell adhesion,P
18760,166,50771,negative regulation of axonogenesis,P
18759,166,43066,negative regulation of apoptotic process,P
18758,166,2000811,negative regulation of anoikis,P
18757,166,226,microtubule cytoskeleton organization,P
18756,166,7229,integrin-mediated signaling pathway,P
18755,166,7229,integrin-mediated signaling pathway,P
18754,166,7229,integrin-mediated signaling pathway,P
18753,166,45087,innate immune response,P
18752,166,3007,heart morphogenesis,P
18751,166,60396,growth hormone receptor signaling pathway,P
18750,166,30198,extracellular matrix organization,P
18749,166,40023,establishment of nucleus localization,P
18748,166,30010,establishment of cell polarity,P
18746,166,48013,ephrin receptor signaling pathway,P
18747,166,7173,epidermal growth factor receptor signaling pathway,P
18745,166,48013,ephrin receptor signaling pathway,P
18744,166,43542,endothelial cell migration,P
18743,166,9790,embryo development,P
18742,166,21955,central nervous system neuron axonogenesis,P
18741,166,6921,cellular component disassembly involved in execution phase of apoptosis,P
18740,166,48870,cell motility,P
18739,166,7411,axon guidance,P
18738,166,1525,angiogenesis,P
18737,166,165,MAPK cascade,P
18736,166,38096,Fc-gamma receptor signaling pathway involved in phagocytosis,P
18735,166,4871,signal transducer activity,F
18734,166,5102,receptor binding,F
18733,166,4713,protein tyrosine kinase activity,F
18732,166,19901,protein kinase binding,F
18731,166,4672,protein kinase activity,F
18730,166,5515,protein binding,F
18729,166,4715,non-membrane spanning protein tyrosine kinase activity,F
18728,166,3779,actin binding,F
18727,166,42169,SH2 domain binding,F
18726,166,5088,Ras guanyl-nucleotide exchange factor activity,F
18725,166,8432,JUN kinase binding,F
18724,166,5524,ATP binding,F
18715,167,30890,positive regulation of B cell proliferation,P
18714,167,2001240,negative regulation of extrinsic apoptotic signaling pathway in absence of ligand,P
18713,167,43086,negative regulation of catalytic activity,P
18712,167,43066,negative regulation of apoptotic process,P
18711,167,6959,humoral immune response,P
18710,167,48873,homeostasis of number of cells within a tissue,P
18709,167,7267,cell-cell signaling,P
18708,167,45453,bone resorption,P
18707,167,9887,animal organ morphogenesis,P
18706,167,2360,T cell lineage commitment,P
18705,167,5515,protein binding,F
18704,167,5139,interleukin-7 receptor binding,F
18703,167,8083,growth factor activity,F
18702,167,5125,cytokine activity,F
18677,168,45944,positive regulation of transcription from RNA polymerase II promoter,P
18676,168,2000379,positive regulation of reactive oxygen species metabolic process,P
18675,168,42307,positive regulation of protein import into nucleus,P
18674,168,10831,positive regulation of myotube differentiation,P
18673,168,1901741,positive regulation of myoblast fusion,P
18672,168,45663,positive regulation of myoblast differentiation,P
18671,168,51149,positive regulation of muscle cell differentiation,P
18670,168,2001184,positive regulation of interleukin-12 secretion,P
18669,168,46326,positive regulation of glucose import,P
18668,168,10628,positive regulation of gene expression,P
18667,168,45648,positive regulation of erythrocyte differentiation,P
18666,168,31281,positive regulation of cyclase activity,P
18665,168,60045,positive regulation of cardiac muscle cell proliferation,P
18664,168,90336,positive regulation of brown fat cell differentiation,P
18663,168,43536,positive regulation of blood vessel endothelial cell migration,P
18662,168,1890,placenta development,P
18661,168,18105,peptidyl-serine phosphorylation,P
18660,168,38066,p38MAPK cascade,P
18659,168,30316,osteoclast differentiation,P
18658,168,90090,negative regulation of canonical Wnt signaling pathway,P
18657,168,14835,myoblast differentiation involved in skeletal muscle regeneration,P
18656,168,6928,movement of cell or subcellular component,P
18655,168,31663,lipopolysaccharide-mediated signaling pathway,P
18654,168,35556,intracellular signal transduction,P
18652,168,19395,fatty acid oxidation,P
18653,168,6006,glucose metabolic process,P
18650,168,6935,chemotaxis,P
18651,168,2062,chondrocyte differentiation,P
18649,168,98586,cellular response to virus,P
18648,168,35924,cellular response to vascular endothelial growth factor stimulus,P
18647,168,71222,cellular response to lipopolysaccharide,P
18646,168,71479,cellular response to ionizing radiation,P
18645,168,7166,cell surface receptor signaling pathway,P
18644,168,902,cell morphogenesis,P
18643,168,1502,cartilage condensation,P
18642,168,6915,apoptotic process,P
18641,168,1525,angiogenesis,P
18640,168,187,activation of MAPK activity,P
18639,168,7265,Ras protein signal transduction,P
18638,168,77,DNA damage checkpoint,P
18637,168,70935,3'-UTR-mediated mRNA stabilization,P
18636,168,4674,protein serine/threonine kinase activity,F
18635,168,19903,protein phosphatase binding,F
18634,168,5515,protein binding,F
18633,168,19899,enzyme binding,F
18632,168,51525,NFAT protein binding,F
18631,168,4708,MAP kinase kinase activity,F
18630,168,4707,MAP kinase activity,F
18629,168,5524,ATP binding,F
18594,169,8284,positive regulation of cell proliferation,P
18593,169,8284,positive regulation of cell proliferation,P
18592,169,60045,positive regulation of cardiac muscle cell proliferation,P
18591,169,90080,positive regulation of MAPKKK cascade by fibroblast growth factor receptor signaling pathway,P
18590,169,43410,positive regulation of MAPK cascade,P
18589,169,43406,positive regulation of MAP kinase activity,P
18588,169,43547,positive regulation of GTPase activity,P
18587,169,48015,phosphatidylinositol-mediated signaling,P
18586,169,36092,phosphatidylinositol-3-phosphate biosynthetic process,P
18585,169,46854,phosphatidylinositol phosphorylation,P
18584,169,18108,peptidyl-tyrosine phosphorylation,P
18583,169,48339,paraxial mesoderm development,P
18582,169,42473,outer ear morphogenesis,P
18581,169,1759,organ induction,P
18580,169,1764,neuron migration,P
18579,169,122,negative regulation of transcription from RNA polymerase II promoter,P
18578,169,90272,negative regulation of fibroblast growth factor production,P
18577,169,42474,middle ear morphogenesis,P
18576,169,30901,midbrain development,P
18575,169,48762,mesenchymal cell differentiation,P
18574,169,60484,lung-associated mesenchyme development,P
18573,169,42472,inner ear morphogenesis,P
18572,169,1701,in utero embryonic development,P
18571,169,35607,fibroblast growth factor receptor signaling pathway involved in orbitofrontal cortex development,P
18570,169,8543,fibroblast growth factor receptor signaling pathway,P
18569,169,8543,fibroblast growth factor receptor signaling pathway,P
18568,169,8543,fibroblast growth factor receptor signaling pathway,P
18567,169,8543,fibroblast growth factor receptor signaling pathway,P
18566,169,30326,embryonic limb morphogenesis,P
18565,169,43009,chordate embryonic development,P
18564,169,2062,chondrocyte differentiation,P
18563,169,16477,cell migration,P
18562,169,48469,cell maturation,P
18561,169,60445,branching involved in salivary gland morphogenesis,P
18559,169,1525,angiogenesis,P
18560,169,60117,auditory receptor cell development,P
18558,169,165,MAPK cascade,P
18557,169,90722,receptor-receptor interaction,F
18556,169,4713,protein tyrosine kinase activity,F
18554,169,42803,protein homodimerization activity,F
18555,169,4713,protein tyrosine kinase activity,F
18553,169,5515,protein binding,F
18552,169,46934,"phosphatidylinositol-4,5-bisphosphate 3-kinase activity",F
18551,169,42802,identical protein binding,F
18550,169,8201,heparin binding,F
18549,169,5007,fibroblast growth factor-activated receptor activity,F
18548,169,5007,fibroblast growth factor-activated receptor activity,F
18547,169,17134,fibroblast growth factor binding,F
18546,169,5088,Ras guanyl-nucleotide exchange factor activity,F
18545,169,5524,ATP binding,F
18544,169,16303,1-phosphatidylinositol-3-kinase activity,F
18532,170,45893,"positive regulation of transcription, DNA-templated",P
18531,170,45944,positive regulation of transcription from RNA polymerase II promoter,P
18530,170,45944,positive regulation of transcription from RNA polymerase II promoter,P
18529,170,45944,positive regulation of transcription from RNA polymerase II promoter,P
18528,170,45944,positive regulation of transcription from RNA polymerase II promoter,P
18527,170,1904828,positive regulation of hydrogen sulfide biosynthetic process,P
18526,170,43923,positive regulation by host of viral transcription,P
18525,170,32869,cellular response to insulin stimulus,P
18524,170,44212,transcription regulatory region DNA binding,F
18523,170,8134,transcription factor binding,F
18522,170,3700,"transcription factor activity, sequence-specific DNA binding",F
18521,170,982,"transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding",F
18520,170,43565,sequence-specific DNA binding,F
18519,170,42803,protein homodimerization activity,F
18518,170,5515,protein binding,F
18517,170,8022,protein C-terminus binding,F
18516,170,46872,metal ion binding,F
18515,170,42826,histone deacetylase binding,F
18514,170,35035,histone acetyltransferase binding,F
18513,170,3690,double-stranded DNA binding,F
18512,170,1046,core promoter sequence-specific DNA binding,F
18511,170,43425,bHLH transcription factor binding,F
18510,170,1103,RNA polymerase II repressing transcription factor binding,F
18509,170,977,RNA polymerase II regulatory region sequence-specific DNA binding,F
18508,170,978,RNA polymerase II core promoter proximal region sequence-specific DNA binding,F
18507,170,978,RNA polymerase II core promoter proximal region sequence-specific DNA binding,F
18506,170,71837,HMG box domain binding,F
18505,170,3677,DNA binding,F
18495,171,48010,vascular endothelial growth factor receptor signaling pathway,P
18494,171,48010,vascular endothelial growth factor receptor signaling pathway,P
18493,171,7169,transmembrane receptor protein tyrosine kinase signaling pathway,P
18492,171,46777,protein autophosphorylation,P
18491,171,30949,positive regulation of vascular endothelial growth factor receptor signaling pathway,P
18490,171,10863,positive regulation of phospholipase C activity,P
18489,171,14068,positive regulation of phosphatidylinositol 3-kinase signaling,P
18488,171,43552,positive regulation of phosphatidylinositol 3-kinase activity,P
18487,171,8284,positive regulation of cell proliferation,P
18486,171,30335,positive regulation of cell migration,P
18485,171,45766,positive regulation of angiogenesis,P
18484,171,43410,positive regulation of MAPK cascade,P
18483,171,43406,positive regulation of MAP kinase activity,P
18482,171,18108,peptidyl-tyrosine phosphorylation,P
18481,171,2548,monocyte chemotaxis,P
18480,171,48598,embryonic morphogenesis,P
18479,171,35924,cellular response to vascular endothelial growth factor stimulus,P
18477,171,30154,cell differentiation,P
18478,171,16477,cell migration,P
18476,171,48514,blood vessel morphogenesis,P
18475,171,1525,angiogenesis,P
18474,171,5021,vascular endothelial growth factor-activated receptor activity,F
18473,171,5021,vascular endothelial growth factor-activated receptor activity,F
18471,171,5515,protein binding,F
18472,171,4714,transmembrane receptor protein tyrosine kinase activity,F
18470,171,36332,placental growth factor-activated receptor activity,F
18469,171,19838,growth factor binding,F
18468,171,36327,VEGF-B-activated receptor activity,F
18467,171,36326,VEGF-A-activated receptor activity,F
18466,171,5524,ATP binding,F
18429,172,70374,positive regulation of ERK1 and ERK2 cascade,P
18428,172,2000144,"positive regulation of DNA-templated transcription, initiation",P
18426,172,43923,positive regulation by host of viral transcription,P
18427,172,45740,positive regulation of DNA replication,P
18425,172,3151,outflow tract morphogenesis,P
18424,172,45892,"negative regulation of transcription, DNA-templated",P
18422,172,31953,negative regulation of protein autophosphorylation,P
18423,172,1990441,negative regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress,P
18421,172,43524,negative regulation of neuron apoptotic process,P
18420,172,8285,negative regulation of cell proliferation,P
18419,172,43392,negative regulation of DNA binding,P
18418,172,43922,negative regulation by host of viral transcription,P
18417,172,30224,monocyte differentiation,P
18416,172,1774,microglial cell activation,P
18415,172,51899,membrane depolarization,P
18414,172,1889,liver development,P
18413,172,7612,learning,P
18412,172,35026,leading edge cell differentiation,P
18411,172,61029,eyelid development in camera-type eye,P
18410,172,7623,circadian rhythm,P
18409,172,51365,cellular response to potassium ion starvation,P
18408,172,32870,cellular response to hormone stimulus,P
18407,172,71277,cellular response to calcium ion,P
18406,172,31103,axon regeneration,P
18405,172,1525,angiogenesis,P
18404,172,7568,aging,P
18403,172,60395,SMAD protein signal transduction,P
18402,172,7184,SMAD protein import into nucleus,P
18401,172,7265,Ras protein signal transduction,P
18400,172,38095,Fc-epsilon receptor signaling pathway,P
18399,172,1190,"transcriptional activator activity, RNA polymerase II transcription factor binding",F
18398,172,1077,"transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding",F
18397,172,44212,transcription regulatory region DNA binding,F
18396,172,8134,transcription factor binding,F
18395,172,3700,"transcription factor activity, sequence-specific DNA binding",F
18394,172,3705,"transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding",F
18393,172,3705,"transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding",F
18392,172,982,"transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding",F
18391,172,3713,transcription coactivator activity,F
18390,172,42803,protein homodimerization activity,F
18389,172,46982,protein heterodimerization activity,F
18388,172,5515,protein binding,F
18387,172,44822,poly(A) RNA binding,F
18386,172,42802,identical protein binding,F
18385,172,19899,enzyme binding,F
18384,172,3682,chromatin binding,F
18383,172,35497,cAMP response element binding,F
