"id","gene_symbol","gene_id","species_name","pubmed","description","entrez_id","gene_name","function","ensembl","alias"
52,"gpa2","SPAC23H3.13c","Schizosaccharomyces pombe","19266076","Gpa2 (alias git8) encodes the alpha subunit of a heterotrimeric G protein, which acts downstream of |GIT3|. Git8 activity accelerates aging and inhibits the lifespan-extending effect of DR. Constitutive active mutation of gpa2 decreases chronological lifespan under ad libitum (2% glucose) and almost completely cancels out the lifespan extending effect of DR (0.2% glucose) [2562].",2541720,"Guanine nucleotide-binding protein alpha-2 subunit","family with sequence similarity 49, member A [Source:HGNC Symbol;Acc:25373] [Ensembl]",NULL,"git8"
53,"sty1","SPAC24B11.06c","Schizosaccharomyces pombe","20075862","Deleting sty1 cancels out chronological lifespan extension and enhanced heat stress resistance by DR. Sty1 (phosphorylated) and Sty1-dependent gene transcription is activated during DR in the stationary phase, but are barely activated in glucose rich medium [2563].",2541652,"MAP kinase Sty1","","","phh1 spc1"
54,"pka1","SPBC106.10","Schizosaccharomyces pombe","16822282,20075862","pka1 knockouts exhibits a three-fold increase in chronological lifespan with up to 187% longer maximum lifespan [2342]. While deleting pka1 extends chronological lifespan under normal condition, there is no additive effect with DR [2563].",2539781,"cAMP-dependent protein kinase 1","cAMP-dependent protein kinase catalytic subunit Pka1",NULL,"git6 tpk"
55,"atf1","SPBC29B5.01","Schizosaccharomyces pombe","20075862","Activation of transcription factor Atf1 by |Sty1| is required for chronological lifespan extension and enhanced heat stress resistance by DR. Deleting atf1 cancels out DR-mediated chronological lifespan extension and enhanced heat stress resistance. Overexpressing atf1 is not sufficient to promote chronological lifespan extension in cells lacking sty1 [2563].",2540329,"activating transcription factor 1","transcription factor, Atf-CREB family Atf1; protein disulfide isomerase family A, member 6 [Source:HGNC Symbol;Acc:30168] [Ensembl]",NULL,"gad7 mts1 sss1"
56,"wis1","SPBC409.07c","Schizosaccharomyces pombe","20075862","Constitutive active mutation of wis1 extends chronological lifespan and there is no further beneficial effect of DR [2563].",2541055,"MAP kinase kinase Wis1","","","smf2 spc2"
57,"daf-16","R13H8.1","Caenorhabditis elegans","8247153,17538612,16720740,17900900,18331616,19079239,19239417,19924292","daf-16 is required for lifespan extension by mutation of |daf-2| or |age-1| [239]. In one experiment, daf-16 mutation suppressed lifespan extension by DR [2494]. Another study found that DR does not stimulate DAF-16 translocation to the nucleus, but daf-16 mutation cancels out the ability of DR to extend lifespan and to delay the decline in locomotor activity [2564]. In another study, DR by bacterial dilution extended lifespan of daf-16 mutants [2360]. daf-16 mutation decreases lifespan under ad lib, but fails to prevent bacterial dilution DR to further extend lifespan [2565]. Intermittent fasting-induced lifespan-extension is significantly diminished in null mutants of daf-16, suggesting daf-16 partially mediates intermittent fasting-induced longevity [2566]. daf-16 mutation cancels out the lifespan extension effect of solid DR and peptone dilution, regardless of the concentration of bacteria or peptones. Bacterial dilution DR significantly extends lifespan of daf-16 mutants, but to a lesser extent than that of wild-type. |eat-2| mutation extends the lifespan of daf-16 mutants to the same extent than that of wild-type [2568]. Another study found that daf-16 RNAi completely blocks the lifespan extension by |daf-2| mutation, but only partially by bacterial dilution DR [2569].",172981,"Abnormal DAuer Formation DAF-16, fork head-related transcription factor (daf-16)","Forkhead family transcription factor; Forkhead-type transcription factor. Binds to the promoters of genes that contain the daf-16 binding element (DBE), TTGTTTAC, in their regulatory region. Functions in the Insulin/IGF-1-like signaling (IIS) mediated pathway which affects lipogenesis, lifespan, starvation survival, heat shock response, and dauer formation. Daf-16 transcriptional activity is negatively regulated by cytoplasmic sequestration. Inhibition is required for the carbon dioxide (CO2) avoidance response. Upon loss of inhibition, daf-16 translocates to the nucleus to regulate genes that result in delayed reproduction and growth while increasing stress resistance starvation tolerance and longevity. Has a protective role against muscle dystrophy. Involved in mediating protection against aberrant protein aggregation proteotoxicity. Influences transcription of genes that code for proteins involved in immunity as part of a general stress response. Targets genes that inhibit and stimulate tumor growth. Thought to regulate ins-7 in FOXO-to-FOXO signaling, which coordinates daf-16 expression. Functions by indirect interaction with jnk-1 of the mitogen- activated protein kinase (MAPK) pathway. [UniProt]","R13H8.1",""
58,"daf-2","Y55D5A.5","Caenorhabditis elegans","9789046,17538612,17900900,19079239,19924292,18043747","daf-2 mutants live more than twice as long as controls. Its relation to DR is unclear. daf-2 mutation extends lifespan of wild-type and |eat-2| mutants [1820]. Long lifespan of daf-2 insulin receptor mutation is further extended by solid DR [2564]. DR by bacterial dilution extends lifespan of daf-2 mutants [2360]. Intermittent fasting does not markedly extend lifespan of daf-2 mutants [2566]. Bacterial dilution DR increases lifespan by 65%. daf-2 mutation further increases lifespan under bacterial dilution DR by 40% [2569]. DR from |eat-2| mutation has an additive effect on lifespan of daf-2(e1370) adults, but not on lifespan of daf-2(e1368) adults [2600]. ",175410,"abnormal DAuer Formation 2","An insulin receptor-like protein which regulates metabolism, controls longevity and prevents developmental arrest at the dauer stage. Binding of INS family members may either stimulate, or antagonise, association of the receptor with downstream mediators such as pdk-1 and age-1. Required for the response to environmental stimuli such as food, pheromone, and temperature. Role in immune function and pathogen resistance. [UniProt]","Y55D5A.5",""
59,"clk-1","ZC395.2","Caenorhabditis elegans","9789046,19079239,19239417,8638122","Mutations in clk-1 slow down development and extend lifespan by 30% [946]. Food restriction by |eat-2| mutation does not further extend the long lifespan of clk-1 mutant [1820]. DR and clk-1 mutations may extend lifespan by a similar process. DR by intermittent fasting significantly extends lifespan of clk-1 mutants, but to a lesser extent than that of wild-type [2566]. clk-1 mutants do not respond to solid DR-induced lifespan extension [2568]. clk-1 mutants have a decreased pharyngeal pumping that may provoke voluntary DR [1820]. ",175729,"CLocK (biological timing) abnormality 1","Plays a role in biological timing and in longevity. [UniProt]","ZC395.2",""
60,"sams-1","C49F5.1","Caenorhabditis elegans","16103914","sams-1 RNAi significantly extends lifespan of wild-type by 14 - 15%, of |daf-16| mutant by 30% and |daf-2| by 55%, but fails to significantly further extend lifespan of |eat-2| mutants. mRNA level of sams-1 is 2-fold reduced in |eat-2| mutants. Like DR, sams-1 RNAi reduces brood size and slightly reproductive timing as well as causes a slender phenotype [2240]. ",181370,"S-Adenosyl Methionine Synthetase 1","Catalyzes the formation of S-adenosylmethionine from methionine and ATP (By similarity). [UniProt]","C49F5.1",""
61,"rab-10","T23H2.5","Caenorhabditis elegans","16103914","rab-10 RNA interference significantly extends lifespan of wild-type by 14 - 16%, of |daf-16| mutants by 47%, and of |daf-2| by 46%, but fails to significantly further extend lifespan of |eat-2| mutants, a genetic model of DR. rab-10 RNAi does not affect pumping, but similar to DR reduces and delays reproduction as well as cause a slender appearance. rab-10 mRNA is 2-fold downregulated in response to DR [2240].",266836,"RAB family","Protein RAB-10; RAB family member (rab-10)  [Source:RefSeq peptide;Acc:NP_491857] [Ensembl];  rab-10 encodes a Rab-like GTPase that is a member of the Ras superfamily of small GTPases; RAB-10 is required, upstream of RME-1, for basolateral endocytic recycling in the intestine, but not in oocytes or coelomocytes; RAB-10 is also required for GLR-1 receptor recycling in interneurons; a RAB-10::GFP fusion protein is widely expressed and in the intestine, localizes to early endosomes and the Golgi.  [WormBase]","T23H2.5",""
62,"drr-1","F45H10.4","Caenorhabditis elegans","16103914","drr-1 RNAi significantly extends mean lifespan of wild-type by 37 - 44%, but does not extend significantly the lifespan of |eat-2| mutants. drr-1 RNAi does not affect pumping, but similar to DR reduces and delays reproduction as well as causes a slender appearance. drr-1 mRNA is 2-fold downregulated in response to DR [2240].",174994,"Dietary Restriction Response (WT but not eat-2 lifespan increased) 1","Protein DRR-1; Dietary Restriction Response (WT but not eat-2 lifespan increased) family member (drr-1)  [Source:RefSeq peptide;Acc:NP_496840] [Ensembl]","F45H10.4",""
63,"drr-2","T12D8.2","Caenorhabditis elegans","15998808,16103914,20456299","RNA interference of drr-2 extends lifespan [2236]. drr-2 RNAi extends lifespan of wild-type by 10-16%, but fails to significantly extend lifespan of |daf-2| mutants or |eat-2| mutants, a genetic model of DR. drr-2 RNAi keeps a normal, well-fed appearance and normal reproduction. drr-2 mRNA expression is 2-fold reduced in |eat-2| mutants [2240]. drr-2 overexpression suppresses lifespan extension by |eat-2| mutation and solid plate-based DR [2637].",259546,"Dietary Restriction Response (WT but not eat-2 lifespan increased) 2","Protein DRR-2; Dietary Restriction Response (WT but not eat-2 lifespan increased) family member (drr-2)  [Source:RefSeq peptide;Acc:NP_499818] [Ensembl]","T12D8.2",""
64,"sir-2.1","R11A8.4","Caenorhabditis elegans","11242085,16860373,19239417,17081160","sir-2.1 deletion slightly reduces lifespan of wild-type [2296]. sir-2.1 overexpression extends lifespan by about 50% and this lifespan extension depends on |DAF-16| activity and it does not synergize with |daf-2| [199]. sir-2.1 suppresses longevity of |eat-2| mutants, but not |daf-2| mutants. sir-2.1 is therefore partially required for lifespan extension from mutation of |eat-2| [2296], but is completely independent for lifespan extension from DR using a reduced feeding protocol [3446]. Solid DR increases lifespan of wild-type and sir-2.1 mutants to the same extent [2568].",177924,"Yeast SIR related 1","NAD(+)-dependent histone deacetylase that silences gene expression; NAD-dependent deacetylase (By similarity). Functions upstream of daf-16 in the insulin-like signaling pathway, promoting daf-16 mediated transcriptional activation and increased life-span. May also regulate life-span independently of daf-16 by modulating the transcription of genes involved in the stress response of the endoplasmic reticulum (ER). [UniProt]","R11A8.4",""
65,"let-363","B0261.2","Caenorhabditis elegans","17266679,16720740,19079239","let-363 RNAi significantly extends the lifespan of wild-type, but does not further extend the long lifespan of |eat-2| mutant [2312]. let-363 RNAi led to an average increase in lifespan of 8% in wild-type and 3% in |eat-2| background, suggesting let-363 works synergistically with |eat-2| mutation [2494]. Another study showed that DR fails to significantly extend lifespan of let-363 RNAi-treated animals [2566].",172167,"LEThal 363","Regulation of cell growth and differentiation in response to nutrients; Kinase that regulates the mRNA translation machinery, probably by modulating the activity of translation factors such as eIF-4G and eIF-2. It may have some protein kinase activity instead of lipid kinase activity. May act as a mediator of lifespan regulation by insulin signaling and nutrient sensing. [UniProt]","B0261.2",""
66,"age-1","B0334.8","Caenorhabditis elegans","8700226,8608934,18828672,16720740","Recessive knockout mutants of age-1 have a 40-65% increase in mean lifespan and a 65-110% increase in maximum lifespan [2237] [1518]. age-1(mg44) zygotic null mutants have a mean (99%) and maximum (117%) lifespan extension [2441]. age-1 mutation significantly extends lifespan under ad lib, but only slightly under solid DR [2494].  ",174762,"AGEing alteration 1","Phosphatidylinositol 3-kinase homolog that regulates longevity and diapause. Could function in the development or neuroendocrine signaling of the dauer pathway. [UniProt]","B0334.8",""
67,"pha-4","F38A6.1","Caenorhabditis elegans","17476212,19079239,19239417","pha-4 is required for multiple forms of DR. RNAi of pha-4 decreases lifespan of wild-type worms and completely cancels out the lifespan extension of |eat-2| mutants. Mutants of pha-4 do not respond to bacterial DR. Therefore, loss of pha-4 completely blocks the response to varying food concentration. Moreover, pha-4 expression is increased in response to DR. pha-4 overexpression increases longevity of wild-type only slightly, but significant that of |daf-16| mutants [2340]. Intermittent fasting significantly extends lifespan of pha-4 [2566]. Solid DR extends lifespan of mutants with a temperature sensitive allele of pha-4 or pha-4 RNAi knockdown [2568]. PHA-4 appears to play a role in the life-extending effects of dietary restriction. ",180357,"defective PHArynx development 4","Acts as a transcription factor required for formation of the pharyngeal primordium. Binds to the consensus sequence 5'- T[AG]TT[TG][AG][TC]-3' with variations of the sequence affecting onset of target gene expression. Activates a wide array of pharyngeal genes including ceh-22 and myo-2 and represses ectodermal genes lin-26 and elt-3, ensuring pharyngeal cell fate. Required for recruitment of htz-1 to a subset of pharyngeal promoters to ensure gene activation and also acts synergistically with tbx-2 in pharyngeal development. Acts in the regulation of diet-restriction-mediated longevity by increasing expression of sod-1, sod-2, sod-4 and sod-5 but not sod-3. [UniProt]","F38A6.1",""
68,"smk-1","F41E6.4","Caenorhabditis elegans","17476212","smk-1 RNAi only slightly shortens the lifespan of wild-type worms, but abolishes the extended lifespan of |eat-2| mutants. Loss of smk-1 by temperature sensitive allele suppresses the extended lifespan under optimal bacterial dilution DR, but not the response to DR itself [2340].",179243,"SMEK (Dictyostelium Suppressor of MEK null) homolog 1","Protein SMK-1; SMEK (Dictyostelium Suppressor of MEK null) homolog family member (smk-1)  [Source:RefSeq peptide;Acc:NP_001023909] [Ensembl];  smk-1 encodes a novel, evolutionarily conserved protein that is orthologous to the mammalian and Dictyostelium discoideum SMEK (suppressor of MEK null) proteins; smk-1 activity is essential for several aspects of DAF-16-mediated longevity namely, the defense response to pathogenic bacteria and increased resistance to oxidative and UV-induced damage; in regulating DAF-16 activity, SMK-1 appears to act by affecting the transcription of DAF-16 target genes, such as sod-3, ctl-1, and lys-8; SMK-1 is present in the nucleus of intestinal cells, many head and tail neurons, and some hypodermal cells throughout development.  [WormBase]","F41E6.4",""
69,"skn-1","T19E7.2","Caenorhabditis elegans","17538612,18358814,19079239,19239417","RNA interference or mutations in skn-1 prevent the life-extension effects of dietary restriction [2360]. skn-1 transgenes that overexpress a constitutive nuclear form of SKN-1 in the intestine extend the mean lifespan by 5-21% [2497]. skn-1 mutation does not alter lifespan under ad lib, but cancels out the lifespan extension effect of liquid DR or food variation at all. Ectopic expression of skn-1b in ASI neurons rescued liquid DR longevity defects of skn-1. Therefore, skn-1 might be regulated by nutritional stress [2360]. Intermittent fasting significantly extends lifespan of skn-1 mutants [2566]. Solid DR extends lifespan of a skn-1 loss-of-function mutant and wild-type to a similar extent [2568].",177343,"SKiNhead 1","bZIP transcription factor, critical in endodermal development and control of the oxidative stress; Required to specify the fate of ventral blastomeres in the early embryo, and postembryonically for the development of the intestine. Directly regulates expression of zygotically expressed med-1 and med-2 to direct mesendoderm development. [UniProt]","T19E7.2",""
70,"aak-2","T01C8.1","Caenorhabditis elegans","17900900,15574588","AAK-2 could be a sensor that couples energy levels and insulin-like signals to lifespan. aak-2(ok524) knockout mutants have a 12% and 18% shorter mean and maximum lifespan, respectively as well as faster age-dependent accumulation of a lipofuscin-like fluorescent pigment in the intestine [2232]. Solid DR increases AMP:ATP ratio. aak-2 mutation suppresses lifespan extension and delay of the decline in locomotor activity resulting from solid DR. A constitutive active mutation of aak-2 is sufficient to cause increase stress resistance as well as to significantly extend lifespan. Both increased stress resistance and extended lifespan is reverted in |daf-16| knockdown by RNAi [2564]. aak-2 mutation cancels out the lifespan extension effect of solid DR and peptone dilution, regardless of the concentration of bacteria or peptones. Bacterial dilution DR significantly extends lifespan of aak-2 mutants, but to a lesser extent than that of wild-type. |eat-2| mutation extends the lifespan of aak-2 mutants to the same extent than that of wild-type.",181727,"AMP-Activated Kinase 2","Acts as a sensor that couples lifespan to information about energy levels and insulin-like signals. Role in motility and response to oxidative stress. Causes germ cell cycle arrest upon dauer entry. [UniProt]","T01C8.1",""
71,"bec-1","T19E7.3","Caenorhabditis elegans","17912023,12958363,18282106","bec-1 is required for normal dauer morphogenesis and lifespan extension. Knockdown of bec-1 via RNA interference results in a shortened mean and maximum lifespan by 14 and 5% [2250]. bec-1 RNAi does not significantly change the lifespan of wild-type, but completely suppresses the longevity phenotype of |eat-2| mutation [2244] [2570].",177345,"BEClin (human autophagy) homolog 1","Protein BEC-1; BEClin (human autophagy) homolog family member (bec-1)  [Source:RefSeq peptide;Acc:NP_500844] [Ensembl];  bec-1 encodes a coiled-coil protein orthologous to the yeast and mammalian autophagy proteins Atg6/Vps30/Beclin1; by homology, BEC-1 may be part of a Class III phosphatidylinositol 3-kinase complex that plays a role in localizing autophagy proteins to preautophagosomal structures and overexpression of C. elegans bec-1 in S. cerevisiae APG6/VPS30 mutants can rescue associated autophagy defects; bec-1 is also required for regulation of endocytic retrograde transport; in C. elegans, bec-1 activity is required for normal dauer morphogenesis and survival of dauer larvae, as well as for adult life span extension of daf-2(e1370) mutants at 15 degrees; in addition, bec-1(RNAi) indicates a role for bec-1 in normal growth rates, movement, and vulval morphogenesis; a bec-1::GFP reporter fusion is expressed in the hypodermis, intestine, nervous system, pharynx, and reproductive organs, all tissues that are remodeled during dauer larval development; in vivo genetic evidence in C. elegans indicates that autophagy genes like bec-1, atg-7 and atg-18 protect cells from the accumulation of aggregates of polyglutamine expansion proteins which have been implicated in Huntington's disease and other neurodegenerative disorders.  [WormBase]","T19E7.3",""
72,"atg-7","M7.5","Caenorhabditis elegans","17912023","RNA interference against atg-7 shortens mean lifespan by 23% and maximum lifespan by 30% in a |eat-2| mutant background but not in wild-type animals. Thus, atg-7 RNAi does not affect lifespan of wild-type, but cancels out the lifespan extension effect of |eat-2| mutation, a genetic model of DR [2244].",178005,"AuTophaGy (yeast Atg homolog) 7","Protein ATG-7; AuTophaGy (yeast Atg homolog) family member (atg-7)  [Source:RefSeq peptide;Acc:NP_502064] [Ensembl];  atg-7 encodes an E1 ubiquitin-activating-like enzyme orthologous to the  autophagic budding yeast protein Apg7p; ATG-7 is required for normal     dauer morphogenesis and autophagy in daf-2 mutant animals; ATG-7, along with other autophagic proteins such as BEC-1 and ATG-18, protects cells from polyglutamine aggregates like those found in Huntington's disease and other neurodegenerative disorders.  [WormBase]","M7.5",""
73,"vps-34","B0025.1","Caenorhabditis elegans","18282106","vps-34 RNAi does not significantly change lifespan of wild-type, but cancels out the lifespan extension effect of |eat-2| mutation [2570].",172280,"related to yeast Vacuolar Protein Sorting factor 34","Protein VPS-34; related to yeast Vacuolar Protein Sorting factor family member (vps-34)  [Source:RefSeq peptide;Acc:NP_491741] [Ensembl];  vps-34 encodes an ortholog of the phosphoinositide 3-kinase VPS34 in S. cerevisiae, a protein that regulates multiple steps in endocytosis, and that is required for growth at normal rates during development; in C. elegans, vps-34 is required for vesicular trafficking, including endocytosis, apoptotic cell clearance, and autophagy.   Inactivation of vps-34 by RNAi induces a defect in encocytotic uptake of secreted GFP into coelomocytes from pseudocoelomic fluid. In addition, vps-34(RNAi) mutants exhibit slower growth than normal. vps-34 is ubiquitously expressed in all tissues and developmental stages. VPS-34 protein accumulates in a perinuclear region of the cell. vps-34(h510) mutants display an expansion of the outer nuclear membrane, and VPS-34 is genetically required for the secretion and localization of the LDL receptor LRP-1 at the apical surface of the hypodermal syncytium. Phosphatidylinositol 3-phosphate (PtdIns 3-P) produced by VPS-34 associates with several intracellular membranes and periphereal vesicles, including endocytic vesicles. These data are consistent with the hypothesis that VPS-34 is generally required for membrane transport from the outer nuclear membrane towards the cell periphery.  [WormBase]","B0025.1",""
74,"hsf-1","Y53C10A.12","Caenorhabditis elegans","12750521,14668486,18331616,19239417,19924292,22737090","RNA interference of hsf-1 suppresses normal dauer formation and life-extension due to insulin-like signalling [985]. hsf-1 overexpression extends mean, median, and maximum lifespan by 37, 35, and 29% [2588]. hsf-1 RNAi abrogates lifespan extension by |daf-2|(e1370) mutation, but not |eat-2|(ad1116). HSF-1, like |DAF-16|, is required for |daf-2| mutations to extend lifespan [626]. A mutant allele of hsf-1 slightly decreases lifespan under ad lib, but cancels out the lifespan extension effect of bacterial dilution DR [2565]. Solid DR extends the lifespan of hsf-1 mutant with a premature stop codon, that eliminates activation domain, and that of wild-type to a similar extent [2568]. In another experiment, hsf-1 RNAi attenuated lifespan extension by bacterial dilution DR, but only partially that of |daf-2| mutation. hsf-1 RNAi attenuated protection against oxidative stress by bacterial dilution DR. hsf-1 expression was induced by bacterial dilution DR [2569]. ",173078,"Heat Shock Factor 1","Protein HSF-1; Heat Shock Factor family member (hsf-1)  [Source:RefSeq peptide;Acc:NP_493031] [Ensembl]","Y53C10A.12",""
75,"rheb-1","F54C8.5","Caenorhabditis elegans","19079239","rheb-1 RNAi extends lifespan by mimicking the DR effect. Under ad lib conditions, rheb-1 RNAi extends lifespan by 19.1% and the longevity-promoting effects of two DR regimens solid DR and intermittent fasting are abolished [2566].",176327,"RHEB (Ras Homolog Enriched in Brain) hom","binds GTP and exhibits intrinsic GTPase activity (By similarity). [UniProt]","F54C8.5",""
76,"hsp-12.6","F38E11.2","Caenorhabditis elegans","19079239","hsp-12.6 loss-of-function mutation significantly extends lifespan under ad lib and significantly suppresses intermittent fasting-induced increase in lifespan, to a similar extend to that of |daf-16| mutation. HSP-12.6 expression is induced by fasting in various tissues, including body wall muscle and neuronal systems. hsp-16.2 is one of downstream targets of DAF-16 in intermittent fasting-induced longevity. The extent of intermittent fasting-induced longevity in |daf-16| hsp-12.6 double mutant is similar to that of single hsp-12.6 or |daf-16| mutants [2566].",177778,"Heat Shock Protein","Protein HSP-12.6; Heat Shock Protein family member (hsp-12.6)  [Source:RefSeq peptide;Acc:NP_501668] [Ensembl];  hsp-12.6 encodes a small heat-shock protein with very short N- and C-terminal domains flanking its central region of similarity to alpha-crystallins; HSP-12.6 is required in vivo for normal lifespan; HSP-12.6 is predominantly and ubiquitously expressed in L1 larvae without any obvious induction by stressors; but, in adult hermaphrodites, at least one HSP-12 is also expressed in spermatids (and perhaps spermatocytes), as well as in some vulval cells; moreover, hsp-12.6 is upregulated in 6- and 10-day-old daf-2 mutants, and this upregulation is highly reproducible (like that of five other genes, vit-2, vit-5, fat-3, nid-1, and mtl-1), strongly suggesting that hsp-12.6's expression may contribute to prolonged lifespan in dauer larvae; the hsp-12.6 promoter is predicted to have both DAF-16 and HSF-1 binding sites; hsp-12.6(RNAi) animals are shorter-lived than normal; recombinant HSP-12.6 is monomeric, and lacks molecular chaperone activity in vitro; hsp-12.6 induction requires DAF-16 and HSP-1, but not SMK-1.  [WormBase]","F38E11.2",""
77,"hif-1","F38A6.3","Caenorhabditis elegans","19372390,19461873","One study found that hif-1 mutation does not suppress lifespan extension of bacterial dilution DR or |eat-2| mutation [2434]. hif-1 deletion extends lifespan by 24% and inhibition of hif-1 by RNAi also extends adult lifespan. hif-1 mutation extends lifespan under ad lib, but does not further extend lifespan extension under modified solid DR [2571].",180359,"HIF (hypoxia inducible factor) homolog 1","including environment stress resistance (oxygen levels, hydrogen sulfide levels and heat), negative regulation of cell apoptosis in ASJ neurons by inhibition of cep-1 via transcriptional activation of tyr-2, resistance/susceptibility to pathogenic bacteria, lifespan and brood size. Involved in mediating susceptibility to enteropathogenic E.coli. Increased levels of hif-1 activity confer resistance to P.aeruginosa- mediated death. Required for aha-1 nuclear localization. Following hypoxic stress, up-regulates serotonin levels through activation of tph-1 expression. Role in life span extension is independent of temperature. Not required for survival in anoxic conditions. [UniProt]","F38A6.3",""
78,"ire-1","C41C4.4","Caenorhabditis elegans","19461873","ire-1 mutation reduces slightly the lifespan under ad lib, but reduces significantly the lifespan extension by DR. ire-1 mutant has a significantly reduced slope in mean lifespan versus food concentrations relative to wild-type [2571].",174305,"IRE1 kinase related 1","Senses unfolded proteins in the lumen of the endoplasmic reticulum via its N-terminal domain which leads to enzyme auto- activation. The active endoribonuclease domain splices xbp-1 precursor mRNA to produce the mature form which then induces transcription of UPR target genes. Unfolded protein response (UPR) transcripional activation by ire-1, as well as translational attenuation by pek-1 in a complementary pathway, maintains ER homeostasis. Ire-1 and pek-1 are redundant genes that control a pathway essential for larval development and survival. [UniProt]","C41C4.4",""
79,"egl-9","F22E12.4","Caenorhabditis elegans","19461873","egl-9 deletion does not affect lifespan under ad lib. Lifespan extension under modified solid DR regimen is diminished by egl-9 mutation. egl-9 mutation significantly suppresses the lifespan extension by a strong loss-of-function allele of |eat-2| [2571].",179461,"EGg Laying defective 9","Protein EGL-9; EGg Laying defective family member (egl-9)  [Source:RefSeq peptide;Acc:NP_001023832] [Ensembl];  egl-9 encodes a dioxygenase that negatively regulates hypoxia inducible factor (hif-1) by hydroxylating prolyl residues in HIF-1.   It belongs to a superfamily of proteins such as AlkB and leprecan that are implicated in oxidative detoxification of alkylated bases and hydroxylation of proteins. egl-9 is expressed in hypodermis, neurons and muscle cells; it is required for muscle function in egg-laying and for lethal paralysis by Pseudomonas aeroginosa PAO1.  [WormBase]","F22E12.4",""
80,"wwp-1","Y65B4BR.4","Caenorhabditis elegans","18006689,19553937","RNA interference of wwp-1 decreases median lifespan by 9% in wild-type animals and 24% in |daf-2| mutants [2239]. Loss of wwp-1 function by RNAi or mutation reduces lifespan at 25 degree Celsius, but not 20 degree Celsius. wwp-1 overexpression extends lifespan by up to 20%. Reduced levels of wwp-1 completely suppress the extended longevity of |eat-2| mutants. Lifespan of wwp-1 mutants across entire food concentration range by bacterial dilution in liquid culture or on solid plates does not noticeable change. There is no difference in wwp-1 mRNA levels under ad lib and DR [2572].",171647,"WW domain Protein (E3 ubiquitin ligase) 1","Protein WWP-1; WW domain Protein (E3 ubiquitin ligase) family member (wwp-1)  [Source:RefSeq peptide;Acc:NP_740775] [Ensembl]","Y65B4BR.4",""
81,"ubc-18","R01H2.6","Caenorhabditis elegans","19553937","ubc-18 overexpression is unable to extend lifespan. Loss of ubc-18 function by mutation or RNAi reduces lifespan at 25 degree Celsius, but only slightly at 20 degree Celsius. RNAi depletion of ubc-18 completely suppresses increased longevity of |eat-2| mutants [2572].",175985,"UBiquitin Conjugating enzyme 18","Protein UBC-18; UBiquitin Conjugating enzyme family member (ubc-18)  [Source:RefSeq peptide;Acc:NP_498541] [Ensembl];  ubc-18 encodes an E2 ubiquitin-conjugating enzyme related to human UBCH7 (OMIM:603731); UBC-18 activity is required for normal growth and reproduction, and UBC-18 functions redundantly with LIN-35/Rb and other class B synthetic multivulval (SynMuv) gene products to regulate pharyngeal morphogenesis during embryonic development; ubc-18 transcripts are detected in the germline, embryos, late larval stages, and adults, suggesting that UBC-18 may function maternally to regulate several aspects of C. elegans development; the substrates of UBC-18 are not yet known.  [WormBase]","R01H2.6",""
84,"nlp-7","F18E9.2","Caenorhabditis elegans","19783783","nlp-7 RNAi or overexpression reduces oxidative stress resistance and shortens lifespan of wild-type under ad lib. nlp-7 RNAi significantly reduces extended lifespan of |eat-2| mutants, but failed to block lifespan extension of |age-1| or |clk-1| mutants. Lifespan of nlp-7 mutants increases only moderately by solid DR [2574].",184647,"Neuropeptide-Like Protein","Protein NLP-7; Neuropeptide-Like Protein family member (nlp-7)  [Source:RefSeq peptide;Acc:NP_509456] [Ensembl]","F18E9.2",""
85,"cup-4","C02C2.3","Caenorhabditis elegans","19783783","cup-4 RNAi or overexpression reduces oxidative stress resistance and shortens lifespan of wild-type under ad lib. cup-4 RNAi significantly reduces the extended lifespan of |eat-2| mutants. Lifespan of cup-4 mutants increases only moderately by solid DR [2574].",176104,"Coelomocyte UPtake defective 4","Thought to regulate endocytosis in coelomocytes through modulation of phospholipase C activity. Possible acetylcholine receptor. [UniProt]","C02C2.3",""
86,"lgc-26","Y58G8A.1","Caenorhabditis elegans","19783783","lgc-26 RNAi significantly decreases lifespan of |eat-2| mutants specifically, whereas lifespan of |age-1| mutants are not affected [2574].",178554,"Ligand-Gated ion Channel 26","Protein LGC-26; Ligand-Gated ion Channel family member (lgc-26)  [Source:RefSeq peptide;Acc:NP_503167] [Ensembl]","Y58G8A.1",""
87,"cup-5","R13A5.1","Caenorhabditis elegans","19783783","cup-5 RNAi significantly decreases lifespan of |eat-2| mutants [2574].",176074,"Coelomocyte UPtake defective 5","Protein CUP-5; Coelomocyte UPtake defective family member (cup-5)  [Source:RefSeq peptide;Acc:NP_498664] [Ensembl];  The cup-5 gene encodes an ortholog of the human mucolipin 1 gene; cup-5 is required for viability, endo-lysosomal transport and the normal degradation of lysosomes; cup-5 mutants also show increased cell death, which might be a secondary consequence of lysosomal dysfunction; the inactivation of mrp-4 which is a ABCC transporter rescues most of the defects in cup-5 mutants, suggesting that the accumulation of ABC transporters in the absence of cup-5, may contribute to the lysosomal defects; cup-5 localizes to lysosomes.  [WormBase]","R13A5.1",""
