entrez_id,gene_symbol,gene_name,description,chr_loc,chr_start,chr_end,orientation,accession,unigene,omim,ensembl,hprd,species,alias,homologene
3101,HK3,hexokinase 3,"Hexokinases phosphorylate glucose to produce glucose-6-phosphate, the first step in most glucose metabolism pathways. This gene encodes hexokinase 3. Similar to hexokinases 1 and 2, this allosteric enzyme is inhibited by its product glucose-6-phosphate. [provided by RefSeq, Apr 2009]",5q35.2,176880868,176899372,-1,NG_047006,411695,142570,ENSG00000160883,,human,HXK3 HKIII,55633
3146,HMGB1,high mobility group box 1,"This gene encodes a protein that belongs to the High Mobility Group-box superfamily. The encoded non-histone, nuclear DNA-binding protein regulates transcription, and is involved in organization of DNA. This protein plays a role in several cellular processes, including inflammation, cell differentiation and tumor cell migration. Multiple pseudogenes of this gene have been identified. Alternative splicing results in multiple transcript variants that encode the same protein. [provided by RefSeq, Sep 2015]",13q12.3,30457915,30617596,-1,,434102,163905,ENSG00000189403,,human,HMG1 HMG3 HMG-1 SBP-1,110676
3265,HRAS,"HRas proto-oncogene, GTPase","This gene belongs to the Ras oncogene family, whose members are related to the transforming genes of mammalian sarcoma retroviruses. The products encoded by these genes function in signal transduction pathways. These proteins can bind GTP and GDP, and they have intrinsic GTPase activity. This protein undergoes a continuous cycle of de- and re-palmitoylation, which regulates its rapid exchange between the plasma membrane and the Golgi apparatus. Mutations in this gene cause Costello syndrome, a disease characterized by increased growth at the prenatal stage, growth deficiency at the postnatal stage, predisposition to tumor formation, mental retardation, skin and musculoskeletal abnormalities, distinctive facial appearance and cardiovascular abnormalities. Defects in this gene are implicated in a variety of cancers, including bladder cancer, follicular thyroid cancer, and oral squamous cell carcinoma. Multiple transcript variants, which encode different isoforms, have been identified for this gene. [provided by RefSeq, Jul 2008]",11p15.5,532241,535566,-1,NG_007666,37003,190020,ENSG00000174775,,human,CTLO HAMSV HRAS1 RASH1 p21ras C-H-RAS H-RASIDX C-BAS/HAS C-HA-RAS1,55890
3309,HSPA5,heat shock protein family A (Hsp70) member 5,"The protein encoded by this gene is a member of the heat shock protein 70 (HSP70) family. It is localized in the lumen of the endoplasmic reticulum (ER), and is involved in the folding and assembly of proteins in the ER. As this protein interacts with many ER proteins, it may play a key role in monitoring protein transport through the cell.[provided by RefSeq, Sep 2010]",9q33.3,125234847,125241386,-1,NG_027761,743241,138120,ENSG00000044574,,human,BIP MIF2 GRP78 HEL-S-89n,3908
3316,HSPB2,heat shock protein family B (small) member 2,"The protein encoded by this gene belongs to the superfamily of small heat-shock proteins containing a conservative alpha-crystallin domain at the C-terminal part of the molecule. The protein is expressed preferentially in the heart and skeletal muscle. This protein regulates Myotonic Dystrophy Protein Kinase, which plays an important role in maintenance of muscle structure and function. [provided by RefSeq, Dec 2012]",11q23.1,111912735,111914092,1,NG_009824,709660,602179,ENSG00000170276,,human,MKBP HSP27 Hs.78846 LOH11CR1K,68189
3397,ID1,"inhibitor of DNA binding 1, HLH protein","The protein encoded by this gene is a helix-loop-helix (HLH) protein that can form heterodimers with members of the basic HLH family of transcription factors. The encoded protein has no DNA binding activity and therefore can inhibit the DNA binding and transcriptional activation ability of basic HLH proteins with which it interacts. This protein may play a role in cell growth, senescence, and differentiation. Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008]",20q11.21,31605282,31606514,1,NG_029639,504609,600349,ENSG00000125968,,human,ID bHLHb24,1631
3400,ID4,"inhibitor of DNA binding 4, HLH protein","This gene encodes a member of the inhibitor of DNA binding (ID) protein family. These proteins are basic helix-loop-helix transcription factors which can act as tumor suppressors but lack DNA binding activity. Consequently, the activity of the encoded protein depends on the protein binding partner. [provided by RefSeq, Dec 2011]",6p22.3,19837369,19842199,1,,519601,600581,ENSG00000172201,,human,IDB4 bHLHb27,1186
3458,IFNG,interferon gamma,"This gene encodes a soluble cytokine that is a member of the type II interferon class. The encoded protein is secreted by cells of both the innate and adaptive immune systems. The active protein is a homodimer that binds to the interferon gamma receptor which triggers a cellular response to viral and microbial infections. Mutations in this gene are associated with an increased susceptibility to viral, bacterial and parasitic infections and to several autoimmune diseases. [provided by RefSeq, Dec 2015]",12q15,68154769,68159740,-1,NG_015840,856,147570,ENSG00000111537,,human,IFG IFI,55526
3484,IGFBP1,insulin like growth factor binding protein 1,"This gene is a member of the insulin-like growth factor binding protein (IGFBP) family and encodes a protein with an IGFBP domain and a thyroglobulin type-I domain. The protein binds both insulin-like growth factors (IGFs) I and II and circulates in the plasma. Binding of this protein prolongs the half-life of the IGFs and alters their interaction with cell surface receptors. [provided by RefSeq, Jul 2008]",7p12.3,45888359,45893667,1,,642938,146730,ENSG00000146678,,human,AFBP IBP1 PP12 IGF-BP25 hIGFBP-1,498
3486,IGFBP3,insulin like growth factor binding protein 3,"This gene is a member of the insulin-like growth factor binding protein (IGFBP) family and encodes a protein with an IGFBP domain and a thyroglobulin type-I domain. The protein forms a ternary complex with insulin-like growth factor acid-labile subunit (IGFALS) and either insulin-like growth factor (IGF) I or II. In this form, it circulates in the plasma, prolonging the half-life of IGFs and altering their interaction with cell surface receptors. Alternate transcriptional splice variants, encoding different isoforms, have been characterized. [provided by RefSeq, Jul 2008]",7p12.3,45912244,45921271,-1,NG_011508,450230,146732,ENSG00000146674,,human,IBP3 BP-53,500
3488,IGFBP5,insulin like growth factor binding protein 5,,2q35,216672104,216695548,-1,,607212,146734,ENSG00000115461,,human,IBP5,56489
3489,IGFBP6,insulin like growth factor binding protein 6,,12q13.13,53097502,53102343,1,,274313,146735,ENSG00000167779,,human,IBP6,1641
3491,CYR61,cysteine rich angiogenic inducer 61,"The secreted protein encoded by this gene is growth factor-inducible and promotes the adhesion of endothelial cells. The encoded protein interacts with several integrins and with heparan sulfate proteoglycan. This protein also plays a role in cell proliferation, differentiation, angiogenesis, apoptosis, and extracellular matrix formation. [provided by RefSeq, Sep 2011]",1p22.3,85580760,85583966,1,,8867,602369,ENSG00000142871,,human,CCN1 GIG1 IGFBP10,1194
3552,IL1A,interleukin 1 alpha,"The protein encoded by this gene is a member of the interleukin 1 cytokine family. This cytokine is a pleiotropic cytokine involved in various immune responses, inflammatory processes, and hematopoiesis. This cytokine is produced by monocytes and macrophages as a proprotein, which is proteolytically processed and released in response to cell injury, and thus induces apoptosis. This gene and eight other interleukin 1 family genes form a cytokine gene cluster on chromosome 2. It has been suggested that the polymorphism of these genes is associated with rheumatoid arthritis and Alzheimer's disease. [provided by RefSeq, Jul 2008]",2q14.1,112773914,112785397,-1,NG_008850,1722,147760,ENSG00000115008,,human,IL1 IL-1A IL1F1 IL1-ALPHA,480
3576,CXCL8,C-X-C motif chemokine ligand 8,"The protein encoded by this gene is a member of the CXC chemokine family. This chemokine is one of the major mediators of the inflammatory response. This chemokine is secreted by several cell types. It functions as a chemoattractant, and is also a potent angiogenic factor. This gene is believed to play a role in the pathogenesis of bronchiolitis, a common respiratory tract disease caused by viral infection. This gene and other ten members of the CXC chemokine gene family form a chemokine gene cluster in a region mapped to chromosome 4q. [provided by RefSeq, Jul 2008]",4q13.3,73740505,73743715,1,NG_029889,624,146930,ENSG00000169429,,human,IL8 NAF GCP1 LECT LUCT NAP1 GCP-1 LYNAP MDNCF MONAP NAP-1,
3621,ING1,inhibitor of growth family member 1,"This gene encodes a tumor suppressor protein that can induce cell growth arrest and apoptosis. The encoded protein is a nuclear protein that physically interacts with the tumor suppressor protein TP53 and is a component of the p53 signaling pathway. Reduced expression and rearrangement of this gene have been detected in various cancers. Multiple alternatively spliced transcript variants encoding distinct isoforms have been reported. [provided by RefSeq, Jul 2008]",13q34,110712622,110721073,1,NG_012197,46700,601566,ENSG00000153487,,human,p33 p47 p33ING1 p24ING1c p33ING1b p47ING1a,40119
3622,ING2,inhibitor of growth family member 2,"This gene is a member of the inhibitor of growth (ING) family. Members of the ING family associate with and modulate the activity of histone acetyltransferase (HAT) and histone deacetylase (HDAC) complexes and function in DNA repair and apoptosis. Alternative splicing results in multiple transcript variants. [provided by RefSeq, May 2014]",4q35.1,183505049,183512427,1,,107153,604215,ENSG00000168556,,human,ING1L p33ING2,20388
3661,IRF3,interferon regulatory factor 3,"This gene encodes a member of the interferon regulatory transcription factor (IRF) family. The encoded protein is found in an inactive cytoplasmic form that upon serine/threonine phosphorylation forms a complex with CREBBP. This complex translocates to the nucleus and activates the transcription of interferons alpha and beta, as well as other interferon-induced genes. Alternatively spliced transcript variants encoding multiple isoforms have been observed for this gene. [provided by RefSeq, Nov 2011]",19q13.33,49659568,49665874,-1,NG_031810,75254,603734,ENSG00000126456,,human,IIAE7,1208
3663,IRF5,interferon regulatory factor 5,"This gene encodes a member of the interferon regulatory factor (IRF) family, a group of transcription factors with diverse roles, including virus-mediated activation of interferon, and modulation of cell growth, differentiation, apoptosis, and immune system activity. Members of the IRF family are characterized by a conserved N-terminal DNA-binding domain containing tryptophan (W) repeats. Alternative promoter use and alternative splicing result in multiple transcript variants, and a 30-nt indel polymorphism (SNP rs60344245) can result in loss of a 10-aa segment. [provided by RefSeq, Dec 2016]",7q32.1,128937736,128950041,1,NG_012306,521181,607218,ENSG00000128604,,human,SLEB10,8088
3665,IRF7,interferon regulatory factor 7,"IRF7 encodes interferon regulatory factor 7, a member of the interferon regulatory transcription factor (IRF) family. IRF7 has been shown to play a role in the transcriptional activation of virus-inducible cellular genes, including interferon beta chain genes. Inducible expression of IRF7 is largely restricted to lymphoid tissue. Multiple IRF7 transcript variants have been identified, although the functional consequences of these have not yet been established. [provided by RefSeq, Jul 2008]",11p15.5,612554,615998,-1,NG_029106,166120,605047,ENSG00000185507,,human,IMD39 IRF7A IRF7B IRF7C IRF7H IRF-7H,128624
3691,ITGB4,integrin subunit beta 4,"Integrins are heterodimers comprised of alpha and beta subunits, that are noncovalently associated transmembrane glycoprotein receptors. Different combinations of alpha and beta polypeptides form complexes that vary in their ligand-binding specificities. Integrins mediate cell-matrix or cell-cell adhesion, and transduced signals that regulate gene expression and cell growth. This gene encodes the integrin beta 4 subunit, a receptor for the laminins. This subunit tends to associate with alpha 6 subunit and is likely to play a pivotal role in the biology of invasive carcinoma. Mutations in this gene are associated with epidermolysis bullosa with pyloric atresia. Multiple alternatively spliced transcript variants encoding distinct isoforms have been found for this gene. [provided by RefSeq, Jul 2008]",17q25.1,75721327,75757818,1,NG_007372,632226,147557,ENSG00000132470,,human,CD104 GP150,179
3705,ITPK1,inositol-tetrakisphosphate 1-kinase,"This gene encodes an enzyme that belongs to the inositol 1,3,4-trisphosphate 5/6-kinase family. This enzyme regulates the synthesis of inositol tetraphosphate, and downstream products, inositol pentakisphosphate and inositol hexakisphosphate. Inositol metabolism plays a role in the development of the neural tube. Disruptions in this gene are thought to be associated with neural tube defects. A pseudogene of this gene has been identified on chromosome X. [provided by RefSeq, Jul 2016]",14q32.12,92936913,93115917,-1,NG_051071,308122,601838,ENSG00000100605,,human,ITRPK1,8588
3707,ITPKB,inositol-trisphosphate 3-kinase B,"The protein encoded by this protein regulates inositol phosphate metabolism by phosphorylation of second messenger inositol 1,4,5-trisphosphate to Ins(1,3,4,5)P4. The activity of this encoded protein is responsible for regulating the levels of a large number of inositol polyphosphates that are important in cellular signaling. Both calcium/calmodulin and protein phosphorylation mechanisms control its activity. [provided by RefSeq, Jul 2008]",1q42.12,226631689,226739326,-1,,528087,147522,ENSG00000143772,,human,IP3K IP3KB PIG37 IP3K-B IP3-3KB,1672
3768,KCNJ12,potassium voltage-gated channel subfamily J member 12,"This gene encodes an inwardly rectifying K+ channel which may be blocked by divalent cations. This protein is thought to be one of multiple inwardly rectifying channels which contribute to the cardiac inward rectifier current (IK1). The gene is located within the Smith-Magenis syndrome region on chromosome 17. [provided by RefSeq, Jul 2008]",17p11.2,21376386,21419869,1,NG_042809,200629,602323,ENSG00000184185,,human,IRK2 hIRK IRK-2 hIRK1 KCNJN1 Kir2.2 Kir2.2v kcnj12x hkir2.2x,7793
3958,LGALS3,galectin 3,"This gene encodes a member of the galectin family of carbohydrate binding proteins. Members of this protein family have an affinity for beta-galactosides. The encoded protein is characterized by an N-terminal proline-rich tandem repeat domain and a single C-terminal carbohydrate recognition domain. This protein can self-associate through the N-terminal domain allowing it to bind to multivalent saccharide ligands. This protein localizes to the extracellular matrix, the cytoplasm and the nucleus. This protein plays a role in numerous cellular functions including apoptosis, innate immunity, cell adhesion and T-cell regulation. The protein exhibits antimicrobial activity against bacteria and fungi. Alternate splicing results in multiple transcript variants.[provided by RefSeq, Oct 2014]",14q22.3,55129216,55145429,1,NG_017089,531081,153619,ENSG00000131981,,human,L31 GAL3 MAC2 CBP35 GALBP GALIG LGALS2,37608
3984,LIMK1,LIM domain kinase 1,"There are approximately 40 known eukaryotic LIM proteins, so named for the LIM domains they contain. LIM domains are highly conserved cysteine-rich structures containing 2 zinc fingers. Although zinc fingers usually function by binding to DNA or RNA, the LIM motif probably mediates protein-protein interactions. LIM kinase-1 and LIM kinase-2 belong to a small subfamily with a unique combination of 2 N-terminal LIM motifs and a C-terminal protein kinase domain. LIMK1 is a serine/threonine kinase that regulates actin polymerization via phosphorylation and inactivation of the actin binding factor cofilin. This protein is ubiquitously expressed during development and plays a role in many cellular processes associated with cytoskeletal structure. This protein also stimulates axon growth and may play a role in brain development. LIMK1 hemizygosity is implicated in the impaired visuospatial constructive cognition of Williams syndrome. Alternative splicing results in multiple transcript variants encoding distinct isoforms.[provided by RefSeq, Feb 2011]",7q11.23,74083776,74122524,1,NG_008129,647035,601329,ENSG00000106683,,human,LIMK LIMK-1,1738
4085,MAD2L1,mitotic arrest deficient 2 like 1,"MAD2L1 is a component of the mitotic spindle assembly checkpoint that prevents the onset of anaphase until all chromosomes are properly aligned at the metaphase plate.  MAD2L1 is related to the MAD2L2 gene located on chromosome 1.  A MAD2 pseudogene has been mapped to chromosome 14. [provided by RefSeq, Jul 2008]",4q27,120059421,120066857,-1,,591697,601467,ENSG00000164109,,human,MAD2 HSMAD2,1768
4101,MAGEA2,MAGE family member A2,"This gene is a member of the MAGEA gene family. The members of this family encode proteins with 50 to 80% sequence identity to each other. The promoters and first exons of the MAGEA genes show considerable variability, suggesting that the existence of this gene family enables the same function to be expressed under different transcriptional controls. The MAGEA genes are clustered at chromosomal location Xq28. They have been implicated in some hereditary disorders, such as dyskeratosis congenita. This gene has two identical copies at different loci. Alternatively spliced transcript variants encoding the same protein have been identified for this gene. [provided by RefSeq, Jul 2008]",Xq28,152749862,152753941,-1,,534597,300173,ENSG00000268606,,human,CT1.2 MAGE2 MAGEA2A,
4116,MAGOH,"mago homolog, exon junction complex core component","Drosophila that have mutations in their mago nashi (grandchildless) gene produce progeny with defects in germplasm assembly and germline development. This gene encodes the mammalian mago nashi homolog. In mammals, mRNA expression is not limited to the germ plasm, but is expressed ubiquitously in adult tissues and can be induced by serum stimulation of quiescent fibroblasts. [provided by RefSeq, Jul 2008]",1p32.3,53226891,53238609,-1,,421576,602603,ENSG00000162385,,human,MAGOH1 MAGOHA,1776
4145,MATK,megakaryocyte-associated tyrosine kinase,"The protein encoded by this gene has amino acid sequence similarity to Csk tyrosine kinase and has the structural features of the CSK subfamily: SRC homology SH2 and SH3 domains, a catalytic domain, a unique N terminus, lack of myristylation signals, lack of a negative regulatory phosphorylation site, and lack of an autophosphorylation site. This protein is thought to play a significant role in the signal transduction of hematopoietic cells. It is able to phosphorylate and inactivate Src family kinases, and may play an inhibitory role in the control of T-cell proliferation. This protein might be involved in signaling in some cases of breast cancer. Three alternatively spliced transcript variants that encode different isoforms have been described for this gene. [provided by RefSeq, Jul 2008]",19p13.3,3777968,3801811,-1,,631845,600038,ENSG00000007264,,human,CHK CTK HYL Lsk HYLTK HHYLTK,48104
4170,MCL1,"MCL1, BCL2 family apoptosis regulator","This gene encodes an anti-apoptotic protein, which is a member of the Bcl-2 family. Alternative splicing results in multiple transcript variants. The longest gene product (isoform 1) enhances cell survival by inhibiting apoptosis while the alternatively spliced shorter gene products (isoform 2 and isoform 3) promote apoptosis and are death-inducing. [provided by RefSeq, Oct 2010]",1q21.2,150574550,150579737,-1,NG_029146,632486,159552,ENSG00000143384,,human,TM EAT MCL1L MCL1S Mcl-1 BCL2L3 MCL1-ES bcl2-L-3 mcl1/EAT,7413
4190,MDH1,malate dehydrogenase 1,"This gene encodes an enzyme that catalyzes the NAD/NADH-dependent, reversible oxidation of malate to oxaloacetate in many metabolic pathways, including the citric acid cycle. Two main isozymes are known to exist in eukaryotic cells: one is found in the mitochondrial matrix and the other in the cytoplasm. This gene encodes the cytosolic isozyme, which plays a key role in the malate-aspartate shuttle that allows malate to pass through the mitochondrial membrane to be transformed into oxaloacetate for further cellular processes. Alternatively spliced transcript variants have been found for this gene. A recent study showed that a C-terminally extended isoform is produced by use of an alternative in-frame translation termination codon via a stop codon readthrough mechanism, and that this isoform is localized in the peroxisomes. Pseudogenes have been identified on chromosomes X and 6. [provided by RefSeq, Feb 2016]",2p15,63588608,63607196,1,,526521,154200,ENSG00000014641,,human,MDHA MOR2 MDH-s HEL-S-32 MGC:1375,
4204,MECP2,methyl-CpG binding protein 2,"DNA methylation is the major modification of eukaryotic genomes and plays an essential role in mammalian development. Human proteins MECP2, MBD1, MBD2, MBD3, and MBD4 comprise a family of nuclear proteins related by the presence in each of a methyl-CpG binding domain (MBD). Each of these proteins, with the exception of MBD3, is capable of binding specifically to methylated DNA. MECP2, MBD1 and MBD2 can also repress transcription from methylated gene promoters. In contrast to other MBD family members, MECP2 is X-linked and subject to X inactivation. MECP2 is dispensible in stem cells, but is essential for embryonic development. MECP2 gene mutations are the cause of most cases of Rett syndrome, a progressive neurologic developmental disorder and one of the most common causes of mental retardation in females. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Oct 2015]",Xq28,154021799,154097730,-1,NG_007107,200716,300005,ENSG00000169057,,human,RS RTS RTT PPMX MRX16 MRX79 MRXSL AUTSX3 MRXS13,3657
4318,MMP9,matrix metallopeptidase 9,"Proteins of the matrix metalloproteinase (MMP) family are involved in the breakdown of extracellular matrix in normal physiological processes, such as embryonic development, reproduction, and tissue remodeling, as well as in disease processes, such as arthritis and metastasis. Most MMP's are secreted as inactive proproteins which are activated when cleaved by extracellular proteinases. The enzyme encoded by this gene degrades type IV and V collagens. Studies in rhesus monkeys suggest that the enzyme is involved in IL-8-induced mobilization of hematopoietic progenitor cells from bone marrow, and murine studies suggest a role in tumor-associated tissue remodeling. [provided by RefSeq, Jul 2008]",20q13.12,46008907,46016560,1,NG_011468,297413,120361,ENSG00000100985,,human,GELB CLG4B MMP-9 MANDP2,3659
4598,MVK,mevalonate kinase,"This gene encodes the peroxisomal enzyme mevalonate kinase. Mevalonate is a key intermediate, and mevalonate kinase a key early enzyme, in isoprenoid and sterol synthesis. Mevalonate kinase deficiency caused by mutation of this gene results in mevalonic aciduria, a disease characterized psychomotor retardation, failure to thrive, hepatosplenomegaly, anemia and recurrent febrile crises. Defects in this gene also cause hyperimmunoglobulinaemia D and periodic fever syndrome, a disorder characterized by recurrent episodes of fever associated with lymphadenopathy, arthralgia, gastrointestinal dismay and skin rash. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jul 2014]",12q24.11,109573284,109597269,1,NG_007702,130607,251170,ENSG00000110921,,human,MK LRBP MVLK POROK3,372
4609,MYC,"MYC proto-oncogene, bHLH transcription factor","The protein encoded by this gene is a multifunctional, nuclear phosphoprotein that plays a role in cell cycle progression, apoptosis and cellular transformation. It functions as a transcription factor that regulates transcription of specific target genes. Mutations, overexpression, rearrangement and translocation of this gene have been associated with a variety of hematopoietic tumors, leukemias and lymphomas, including Burkitt lymphoma. There is evidence to show that alternative translation initiations from an upstream, in-frame non-AUG (CUG) and a downstream AUG start site result in the production of two isoforms with distinct N-termini. The synthesis of non-AUG initiated protein is suppressed in Burkitt's lymphomas, suggesting its importance in the normal function of this gene. [provided by RefSeq, Jul 2008]",8q24.21,127736068,127741433,1,NG_007161,202453,190080,ENSG00000136997,,human,MRTL MYCC c-Myc bHLHe39,31092
4638,MYLK,myosin light chain kinase,"This gene, a muscle member of the immunoglobulin gene superfamily, encodes myosin light chain kinase which is a calcium/calmodulin dependent enzyme. This kinase phosphorylates myosin regulatory light chains to facilitate myosin interaction with actin filaments to produce contractile activity. This gene encodes both smooth muscle and nonmuscle isoforms. In addition, using a separate promoter in an intron in the 3' region, it encodes telokin, a small protein identical in sequence to the C-terminus of myosin light chain kinase, that is independently expressed in smooth muscle and functions to stabilize unphosphorylated myosin filaments. A pseudogene is located on the p arm of chromosome 3. Four transcript variants that produce four isoforms of the calcium/calmodulin dependent enzyme have been identified as well as two transcripts that produce two isoforms of telokin. Additional variants have been identified but lack full length transcripts. [provided by RefSeq, Jul 2008]",3q21.1,123612295,123884301,-1,NG_029111,477375,600922,ENSG00000065534,,human,KRP AAT7 MLCK MLCK1 MYLK1 smMLCK MLCK108 MLCK210 MSTP083,14202
4750,NEK1,NIMA related kinase 1,"The protein encoded by this gene is a serine/threonine kinase involved in cell cycle regulation. The encoded protein is found in a centrosomal complex with FEZ1, a neuronal protein that plays a role in axonal development. Defects in this gene are a cause of polycystic kidney disease (PKD). Several transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Dec 2010]",4q33,169393269,169612628,-1,NG_027982,481181,604588,ENSG00000137601,,human,SRPS2 SRTD6 SRPS2A NY-REN-55,14376
4780,NFE2L2,"nuclear factor, erythroid 2 like 2","This gene encodes a transcription factor which is a member of a small family of basic leucine zipper (bZIP) proteins. The encoded transcription factor regulates genes which contain antioxidant response elements (ARE) in their promoters; many of these genes encode proteins involved in response to injury and inflammation which includes the production of free radicals. Multiple transcript variants encoding different isoforms have been characterized for this gene. [provided by RefSeq, Sep 2015]",2q31.2,177230302,177265130,-1,,744006,600492,ENSG00000116044,,human,NRF2 HEBP1,2412
4814,NINJ1,ninjurin 1,"The ninjurin protein is upregulated after nerve injury both in dorsal root ganglion neurons and in Schwann cells (Araki and Milbrandt, 1996 [PubMed 8780658]). It demonstrates properties of a homophilic adhesion molecule and promotes neurite outgrowth from primary cultured dorsal root ganglion neurons.[supplied by OMIM, Aug 2009]",9q22.31,93121488,93134303,-1,,494457,602062,ENSG00000131669,,human,NIN1 NINJURIN,88815
4854,NOTCH3,notch 3,"This gene encodes the third discovered human homologue of the Drosophilia melanogaster type I membrane protein notch. In Drosophilia, notch interaction with its cell-bound ligands (delta, serrate) establishes an intercellular signalling pathway that plays a key role in neural development. Homologues of the notch-ligands have also been identified in human, but precise interactions between these ligands and the human notch homologues remains to be determined. Mutations in NOTCH3 have been identified as the underlying cause of cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy (CADASIL). [provided by RefSeq, Jul 2008]",19p13.12,15159632,15200980,-1,NG_009819,8546,600276,ENSG00000074181,,human,IMF2 LMNS CASIL CADASIL CADASIL1,376
5015,OTX2,orthodenticle homeobox 2,"This gene encodes a member of the bicoid subfamily of homeodomain-containing transcription factors. The encoded protein acts as a transcription factor and plays a role in brain, craniofacial, and sensory organ development. The encoded protein also influences the proliferation and differentiation of dopaminergic neuronal progenitor cells during mitosis. Mutations in this gene cause syndromic microphthalmia 5 (MCOPS5) and combined pituitary hormone deficiency 6 (CPHD6). This gene is also suspected of having an oncogenic role in medulloblastoma. Alternative splicing results in multiple transcript variants encoding distinct isoforms. Pseudogenes of this gene are known to exist on chromosomes two and nine. [provided by RefSeq, Jul 2012]",14q22.3,56800706,56810475,-1,NG_008204,288655,600037,ENSG00000165588,,human,CPHD6 MCOPS5,11026
5037,PEBP1,phosphatidylethanolamine binding protein 1,"This gene encodes a member of the phosphatidylethanolamine-binding family of proteins and has been shown to modulate multiple signaling pathways, including the MAP kinase (MAPK), NF-kappa B, and glycogen synthase kinase-3 (GSK-3) signaling pathways. The encoded protein can be further processed to form a smaller cleavage product, hippocampal cholinergic neurostimulating peptide (HCNP), which may be involved in neural development. This gene has been implicated in numerous human cancers and may act as a metastasis suppressor gene. Multiple pseudogenes of this gene have been identified in the genome. [provided by RefSeq, Jul 2015]",12q24.23,118135883,118145587,1,,433863,604591,ENSG00000089220,,human,PBP HCNP PEBP RKIP HCNPpp PEBP-1 HEL-210 HEL-S-34 HEL-S-96,37637
5054,SERPINE1,serpin family E member 1,"This gene encodes a member of the serine proteinase inhibitor (serpin) superfamily. This member is the principal inhibitor of tissue plasminogen activator (tPA) and urokinase (uPA), and hence is an inhibitor of fibrinolysis. Defects in this gene are the cause of plasminogen activator inhibitor-1 deficiency (PAI-1 deficiency), and high concentrations of the gene product are associated with thrombophilia. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Sep 2009]",7q22.1,101127086,101139265,1,NG_013213,414795,173360,ENSG00000106366,,human,PAI PAI1 PAI-1 PLANH1,68070
5129,CDK18,cyclin dependent kinase 18,,1q32.1,205504555,205532792,1,,445402,169190,ENSG00000117266,,human,PCTK3 PCTAIRE PCTAIRE3,1949
5170,PDPK1,3-phosphoinositide dependent protein kinase 1,,16p13.3,2537963,2603189,1,,459691,605213,ENSG00000140992,,human,PDK1 PDPK2 PDPK2P PRO0461,37643
5286,PIK3C2A,phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha,"The protein encoded by this gene belongs to the phosphoinositide 3-kinase (PI3K) family. PI3-kinases play roles in signaling pathways involved in cell proliferation, oncogenic transformation, cell survival, cell migration, and intracellular protein trafficking. This protein contains a lipid kinase catalytic domain as well as a C-terminal C2 domain, a characteristic of class II PI3-kinases. C2 domains act as calcium-dependent phospholipid binding motifs that mediate translocation of proteins to membranes, and may also mediate protein-protein interactions. The PI3-kinase activity of this protein is not sensitive to nanomolar levels of the inhibitor wortmanin. This protein was shown to be able to be activated by insulin and may be involved in integrin-dependent signaling. [provided by RefSeq, Jul 2008]",11p15.1,17086571,17207995,-1,,175343,603601,ENSG00000011405,,human,CPK PI3-K-C2A PI3K-C2alpha PI3K-C2-alpha PI3-K-C2(ALPHA),20581
5292,PIM1,"Pim-1 proto-oncogene, serine/threonine kinase","The protein encoded by this gene belongs to the Ser/Thr protein kinase family, and PIM subfamily. This gene is expressed primarily in B-lymphoid and myeloid cell lines, and is overexpressed in hematopoietic malignancies and in prostate cancer. It plays a role in signal transduction in blood cells, contributing to both cell proliferation and survival, and thus provides a selective advantage in tumorigenesis. Both the human and orthologous mouse genes have been reported to encode two isoforms (with preferential cellular localization) resulting from the use of alternative in-frame translation initiation codons, the upstream non-AUG (CUG) and downstream AUG codons (PMIDs:16186805, 1825810).[provided by RefSeq, Aug 2011]",6p21.2,37170145,37175427,1,NG_029601,81170,164960,ENSG00000137193,,human,PIM,11214
5315,PKM,"pyruvate kinase, muscle","This gene encodes a protein involved in glycolysis. The encoded protein is a pyruvate kinase that catalyzes the transfer of a phosphoryl group from phosphoenolpyruvate to ADP, generating ATP and pyruvate. This protein has been shown to interact with thyroid hormone and may mediate cellular metabolic effects induced by thyroid hormones. This protein has been found to bind Opa protein, a bacterial outer membrane protein involved in gonococcal adherence to and invasion of human cells, suggesting a role of this protein in bacterial pathogenesis. Several alternatively spliced transcript variants encoding a few distinct isoforms have been reported. [provided by RefSeq, May 2011]",15q23,72199028,72231623,-1,NG_052978,534770,179050,ENSG00000067225,,human,PK3 TCB OIP3 PKM2 CTHBP THBP1 HEL-S-30,37650
